ts,p1,p2,p3,p4
10080,1740,214,0,0
10090,1761,225,0,0
10100,1704,219,30,20
10110,1673,218,0,0
10120,1692,227,25,14
10130,1606,214,0,0
10140,1633,225,0,0
10150,1574,219,30,20
10160,1542,218,0,0
10170,1554,227,25,14
10180,1463,214,0,0
10190,1486,226,0,0
10200,1428,220,30,20
10210,1395,218,0,0
10220,1414,228,24,13
10230,1336,215,0,0
10240,1387,226,0,0
10250,1374,221,30,20
10260,1383,218,0,0
10270,1444,228,24,13
10280,1396,215,0,0
10290,1454,226,0,0
10300,1431,221,30,20
10310,1419,219,0,0
10320,1459,228,24,13
10330,1398,215,0,0
10340,1450,226,0,0
10350,1425,221,30,20
10360,1415,218,0,0
10370,1454,228,24,13
10380,1382,215,0,0
10390,1418,226,0,0
10400,1369,220,30,20
10410,1337,218,0,0
10420,1368,228,23,13
10430,1300,215,0,0
10440,1353,226,0,0
10450,1337,220,31,20
10460,1333,217,0,0
10470,1387,228,23,13
10480,1334,215,0,0
10490,1391,226,0,0
10500,1373,220,31,20
10510,1365,218,0,0
10520,1418,228,23,13
10530,1366,215,0,0
10540,1432,226,0,0
10550,1424,221,31,20
10560,1422,218,0,0
10570,1485,228,23,12
10580,1437,215,0,0
10590,1494,226,0,0
10600,1469,221,31,20
10610,1446,217,0,0
10620,1476,228,22,12
10630,1394,215,0,0
10640,1422,225,0,0
10650,1378,221,31,20
10660,1350,217,0,0
10670,1394,228,22,12
10680,1333,215,0,0
10690,1383,226,0,0
10700,1361,221,31,20
10710,1347,217,0,0
10720,1398,228,22,12
10730,1337,215,0,0
10740,1382,225,0,0
10750,1341,220,31,20
10760,1306,217,0,0
10770,1328,228,22,12
10780,1246,215,0,0
10790,1257,225,0,0
10800,1195,220,31,20
10810,1150,216,0,0
10820,1179,227,22,11
10830,1107,215,0,0
10840,1147,225,0,0
10850,1119,220,31,20
10860,1100,216,0,0
10870,1148,227,22,11
10880,1090,215,0,0
10890,1141,224,0,0
10900,1128,220,31,20
10910,1130,216,0,0
10920,1204,228,21,11
10930,1192,215,0,0
10940,1294,225,0,0
10950,1335,220,31,20
